NOMBRE DEL MUNICIPIO,TOTAL DE CAMAS,TOTAL DE HOSPITALES,TOTAL DE HABITANTES,BEDS PER 1000
AZCAPOTZALCO,1910,21,414711,4.61
BENITO JUÁREZ,1631,28,385439,4.23
COYOACÁN,1073,26,620416,1.73
CUAJIMALPA DE MORELOS,24,6,186391,0.13
CUAUHTÉMOC,3735,52,531831,7.02
GUSTAVO A. MADERO,2916,92,1185772,2.46
IZTACALCO,623,22,384326,1.62
IZTAPALAPA,2065,117,1815786,1.14
LA MAGDALENA CONTRERAS,72,5,239086,0.30
MIGUEL HIDALGO,2723,35,372889,7.30
MILPA ALTA,133,12,130582,1.02
TLALPAN,2364,33,360265,6.56
TLÁHUAC,497,32,650567,0.76
VENUSTIANO CARRANZA,619,27,430978,1.44
XOCHIMILCO,216,25,415007,0.52
ÁLVARO OBREGÓN,1548,22,727034,2.13
