,CLUES,NOMBRE DE LA ENTIDAD,NOMBRE DEL MUNICIPIO,NOMBRE DE LA LOCALIDAD,NOMBRE DE LA JURISDICCION,CLAVE DE LA INSTITUCION,NOMBRE DE TIPOLOGIA,CONSULTORIOS DE MED GRAL,CONSULTORIOS EN OTRAS AREAS,TOTAL DE CONSULTORIOS,CAMAS EN AREA DE HOS,CAMAS EN OTRAS AREAS,TOTAL DE CAMAS,NOMBRE DE LA UNIDAD,OBSERVACIONES DE LA DIRECCION,CODIGO POSTAL,ESTATUS DE OPERACION,LONGITUD,LATITUD,NIVEL ATENCION
6399,DFCRO000011,CIUDAD DE MEXICO,MIGUEL HIDALGO,MIGUEL HIDALGO,MIGUEL HIDALGO,CRO,NO ESPECIFICADO,5,0,5,60,0,60,CENTRO DE TRAUMA DE CRUZ ROJA MEXICANA EN EL DISTRITO FEDERAL,"AV. EJÉRCITO NACIONAL NO. 1032, COLONIA LOS MORALES POLANCO, DELEGACIÓN MIGUEL HIDALGO.",11510.0,EN OPERACION,-99.2088913,19.4385309,SEGUNDO NIVEL
6505,DFIMS000020,CIUDAD DE MEXICO,AZCAPOTZALCO,AZCAPOTZALCO,AZCAPOTZALCO,IMSS,HOSPITAL DE ESPECIALIDADES,75,0,75,465,0,465,HES CM LA RAZA,"SERIS Y ZAACHILA  COL. LA RAZA C.P. 02990, AZCAPOTZALCO, D.F.",2990.0,EN OPERACION,-99.1442,19.4662,TERCER NIVEL
6507,DFIMS000044,CIUDAD DE MEXICO,AZCAPOTZALCO,AZCAPOTZALCO,AZCAPOTZALCO,IMSS,HOSPITAL DE GINECO-OBSTETRICIA,31,0,31,306,0,306,HGO CM LA RAZA,"CLZD. VALLEJO ESQ. ANTONIO VALERIANO  COL. LA RAZA C.P. 02990, AZCAPOTZALCO, D.F.",2990.0,EN OPERACION,-99.1470262,19.4664404,SEGUNDO NIVEL
6508,DFIMS000056,CIUDAD DE MEXICO,AZCAPOTZALCO,AZCAPOTZALCO,AZCAPOTZALCO,IMSS,HOSPITAL INFECTOLOGÍA,6,0,6,148,0,148,HINFEC CM LA RAZA,"ZAACHILA Y JACARANDAS S/N  COL. LA RAZA C.P. 02990, AZCAPOTZALCO, D.F.",2990.0,EN OPERACION,-99.144716,19.466279,TERCER NIVEL
6509,DFIMS000061,CIUDAD DE MEXICO,AZCAPOTZALCO,AZCAPOTZALCO,AZCAPOTZALCO,IMSS,HOSPITAL GENERAL,69,0,69,523,0,523,HG CM LA RAZA,"CLZD. VALLEJO Y JACARANDAS  COL. LA RAZA C.P. 02990, AZCAPOTZALCO, D.F.",2990.0,EN OPERACION,-99.182,19.486,SEGUNDO NIVEL
6515,DFIMS000126,CIUDAD DE MEXICO,COYOACÁN,COYOACAN,COYOACÁN,IMSS,HOSPITAL GENERAL DE ZONA,58,0,58,205,0,205,HGZ 32 VILLA COAPA,"CLZD. DEL HUESO S/N CANAL DE MIRAMONTES Y LAS BOMBAS COL. EX-HACIENDA COAPA C.P. 14310, COYOACÁN, D.F.",14310.0,EN OPERACION,-99.1354,19.3085,SEGUNDO NIVEL
6521,DFIMS000184,CIUDAD DE MEXICO,GUSTAVO A. MADERO,GUSTAVO A. MADERO,GUSTAVO A. MADERO,IMSS,HOSPITAL DE GINECO-PEDIATRÍA,19,0,19,90,0,90,HGP 3A MAGDALENA SALINAS,"AV. I.P.N. ESQUINA EJE 4 NORTE FORTUNA COL. MAGDALENA DE LAS SALINAS C.P. 07760, GUSTAVO A. MADERO, D.F.",7760.0,EN OPERACION,-99.1362223,19.4862775,TERCER NIVEL
6522,DFIMS000196,CIUDAD DE MEXICO,GUSTAVO A. MADERO,GUSTAVO A. MADERO,GUSTAVO A. MADERO,IMSS,HOSPITAL DE ORTOPEDIA,22,0,22,262,0,262,H-ORT MAGDALENA SALINAS,"EJE 4 NORTE FORTUNA ESQUINA AV. I.P.N. COL. MAGDALENA DE LAS SALINAS C.P. 07760, GUSTAVO A. MADERO, D.F.",7760.0,EN OPERACION,-99.1343,19.4845,TERCER NIVEL
6523,DFIMS000201,CIUDAD DE MEXICO,GUSTAVO A. MADERO,GUSTAVO A. MADERO,GUSTAVO A. MADERO,IMSS,HOPITAL DE PSIQUIATRÍA,23,0,23,70,0,70,H PSIQ MORELOS,"CLZD. SAN JUAN DE ARAGÓN NO. 311  COL. SAN PEDRO EL CHICO C.P. 07480, GUSTAVO A. MADERO, D.F.",7480.0,EN OPERACION,-99.0973,19.4781,SEGUNDO NIVEL
6524,DFIMS000213,CIUDAD DE MEXICO,GUSTAVO A. MADERO,GUSTAVO A. MADERO,GUSTAVO A. MADERO,IMSS,HOSPITAL DE TRAUMATOLOGÍA,26,0,26,252,0,252,HT MAGDALENA SALINAS,"EJE 4 NORTE FORTUNA, ENTRE CALLE 8 Y AV. I.P.N. COL. MAGDALENA DE LAS SALINAS C.P. 07760, GUSTAVO A. MADERO, D.F.",7760.0,EN OPERACION,-99.1336,19.4871,SEGUNDO NIVEL
