CLUES,TIPOURGENCIA,MOTATE,YEAR,count
ASSSA000025,-1.0,1.0,2009,2919
ASSSA000025,-1.0,2.0,2009,2236
ASSSA000025,-1.0,3.0,2009,38
ASSSA000025,-1.0,4.0,2009,6
ASSSA000025,-1.0,5.0,2009,2013
ASSSA000025,-1.0,6.0,2009,9361
ASSSA000025,-1.0,7.0,2009,11
ASSSA000025,-1.0,9.0,2009,100
ASSSA000025,1.0,1.0,2010,722
ASSSA000025,1.0,1.0,2011,1809
ASSSA000025,1.0,1.0,2012,1523
ASSSA000025,1.0,1.0,2013,2106
ASSSA000025,1.0,1.0,2014,1283
ASSSA000025,1.0,1.0,2015,1034
ASSSA000025,1.0,1.0,2016,1242
ASSSA000025,1.0,2.0,2010,2195
ASSSA000025,1.0,2.0,2011,3454
ASSSA000025,1.0,2.0,2012,2533
ASSSA000025,1.0,2.0,2013,2298
ASSSA000025,1.0,2.0,2014,2731
ASSSA000025,1.0,2.0,2015,2544
ASSSA000025,1.0,2.0,2016,2653
ASSSA000025,1.0,3.0,2010,4
ASSSA000025,1.0,3.0,2011,2
ASSSA000025,1.0,4.0,2010,1952
ASSSA000025,1.0,4.0,2011,2023
ASSSA000025,1.0,4.0,2012,1978
ASSSA000025,1.0,4.0,2013,2108
ASSSA000025,1.0,4.0,2014,1337
ASSSA000025,1.0,4.0,2015,1272
ASSSA000025,1.0,4.0,2016,1407
ASSSA000025,1.0,9.0,2010,1
ASSSA000025,2.0,1.0,2010,2624
ASSSA000025,2.0,1.0,2011,4309
ASSSA000025,2.0,1.0,2012,5234
ASSSA000025,2.0,1.0,2013,4732
ASSSA000025,2.0,1.0,2014,5526
ASSSA000025,2.0,1.0,2015,5114
ASSSA000025,2.0,1.0,2016,6016
ASSSA000025,2.0,2.0,2010,4244
ASSSA000025,2.0,2.0,2011,7361
ASSSA000025,2.0,2.0,2012,9369
ASSSA000025,2.0,2.0,2013,9133
ASSSA000025,2.0,2.0,2014,8324
ASSSA000025,2.0,2.0,2015,8827
ASSSA000025,2.0,2.0,2016,10977
ASSSA000025,2.0,3.0,2010,14
ASSSA000025,2.0,3.0,2011,2
ASSSA000025,2.0,3.0,2015,2
ASSSA000025,2.0,3.0,2016,1
ASSSA000025,2.0,4.0,2010,5752
ASSSA000025,2.0,4.0,2011,6509
ASSSA000025,2.0,4.0,2012,8017
ASSSA000025,2.0,4.0,2013,7466
ASSSA000025,2.0,4.0,2014,7174
ASSSA000025,2.0,4.0,2015,6398
ASSSA000025,2.0,4.0,2016,7106
ASSSA000025,2.0,9.0,2010,47
ASSSA000025,2.0,9.0,2014,1
ASSSA000030,-1.0,1.0,2009,3368
ASSSA000030,-1.0,2.0,2009,13258
ASSSA000030,-1.0,3.0,2009,74
ASSSA000030,-1.0,4.0,2009,73
ASSSA000030,-1.0,5.0,2009,9965
ASSSA000030,-1.0,6.0,2009,28559
ASSSA000030,-1.0,9.0,2009,675
ASSSA000030,1.0,1.0,2010,1982
ASSSA000030,1.0,1.0,2011,1976
ASSSA000030,1.0,1.0,2012,4467
ASSSA000030,1.0,1.0,2013,3536
ASSSA000030,1.0,1.0,2014,3946
ASSSA000030,1.0,1.0,2015,4401
ASSSA000030,1.0,1.0,2016,6441
ASSSA000030,1.0,2.0,2010,11583
ASSSA000030,1.0,2.0,2011,14026
ASSSA000030,1.0,2.0,2012,14956
ASSSA000030,1.0,2.0,2013,18719
ASSSA000030,1.0,2.0,2014,19967
ASSSA000030,1.0,2.0,2015,18347
ASSSA000030,1.0,2.0,2016,15322
ASSSA000030,1.0,3.0,2010,24
ASSSA000030,1.0,3.0,2011,15
ASSSA000030,1.0,3.0,2012,21
ASSSA000030,1.0,3.0,2013,10
ASSSA000030,1.0,3.0,2014,17
ASSSA000030,1.0,3.0,2015,14
ASSSA000030,1.0,3.0,2016,17
ASSSA000030,1.0,4.0,2010,8222
ASSSA000030,1.0,4.0,2011,9363
ASSSA000030,1.0,4.0,2012,9545
ASSSA000030,1.0,4.0,2013,11649
ASSSA000030,1.0,4.0,2014,11695
ASSSA000030,1.0,4.0,2015,8685
ASSSA000030,1.0,4.0,2016,6141
ASSSA000030,1.0,9.0,2010,6
ASSSA000030,1.0,9.0,2011,5
ASSSA000030,1.0,9.0,2013,5
ASSSA000030,1.0,9.0,2016,2
ASSSA000030,2.0,1.0,2010,43
ASSSA000030,2.0,1.0,2011,14
ASSSA000030,2.0,1.0,2012,14
ASSSA000030,2.0,1.0,2013,5
ASSSA000030,2.0,1.0,2014,3
ASSSA000030,2.0,1.0,2015,2
ASSSA000030,2.0,1.0,2016,2
ASSSA000030,2.0,2.0,2010,12146
ASSSA000030,2.0,2.0,2011,11856
ASSSA000030,2.0,2.0,2012,10415
ASSSA000030,2.0,2.0,2013,7164
ASSSA000030,2.0,2.0,2014,6679
ASSSA000030,2.0,2.0,2015,7179
ASSSA000030,2.0,2.0,2016,10217
ASSSA000030,2.0,3.0,2010,38
ASSSA000030,2.0,3.0,2011,33
ASSSA000030,2.0,3.0,2012,12
ASSSA000030,2.0,3.0,2013,6
ASSSA000030,2.0,3.0,2014,16
ASSSA000030,2.0,3.0,2015,9
ASSSA000030,2.0,3.0,2016,7
ASSSA000030,2.0,4.0,2010,10912
ASSSA000030,2.0,4.0,2011,9633
ASSSA000030,2.0,4.0,2012,8268
ASSSA000030,2.0,4.0,2013,5854
ASSSA000030,2.0,4.0,2014,5020
ASSSA000030,2.0,4.0,2015,4311
ASSSA000030,2.0,4.0,2016,5256
ASSSA000030,2.0,9.0,2010,16
ASSSA000030,2.0,9.0,2011,1
ASSSA000030,2.0,9.0,2012,1
ASSSA000030,2.0,9.0,2013,17
ASSSA000030,2.0,9.0,2016,2
ASSSA000042,-1.0,4.0,2009,12765
ASSSA000042,-1.0,6.0,2009,10216
ASSSA000042,1.0,1.0,2014,1
ASSSA000042,1.0,2.0,2015,5
ASSSA000042,1.0,3.0,2010,13096
ASSSA000042,1.0,3.0,2011,13879
ASSSA000042,1.0,3.0,2012,10857
ASSSA000042,1.0,3.0,2013,14650
ASSSA000042,1.0,3.0,2014,11431
ASSSA000042,1.0,3.0,2015,9228
ASSSA000042,1.0,3.0,2016,14115
ASSSA000042,1.0,4.0,2014,1
ASSSA000042,1.0,4.0,2016,1
ASSSA000042,2.0,2.0,2012,8
ASSSA000042,2.0,2.0,2015,13
ASSSA000042,2.0,2.0,2016,2
ASSSA000042,2.0,3.0,2010,9437
ASSSA000042,2.0,3.0,2011,11288
ASSSA000042,2.0,3.0,2012,11807
ASSSA000042,2.0,3.0,2013,14708
ASSSA000042,2.0,3.0,2014,17028
ASSSA000042,2.0,3.0,2015,17842
ASSSA000042,2.0,3.0,2016,16209
ASSSA000054,-1.0,1.0,2009,3
ASSSA000054,-1.0,2.0,2009,2100
ASSSA000054,-1.0,3.0,2009,1
ASSSA000054,1.0,1.0,2012,3
ASSSA000054,1.0,1.0,2013,2
ASSSA000054,1.0,2.0,2010,2436
ASSSA000054,1.0,2.0,2011,3362
ASSSA000054,1.0,2.0,2012,4317
ASSSA000054,1.0,2.0,2013,5106
ASSSA000054,1.0,2.0,2014,6471
ASSSA000054,1.0,2.0,2015,6336
ASSSA000054,1.0,2.0,2016,7488
ASSSA000054,2.0,1.0,2012,11
ASSSA000054,2.0,1.0,2013,2
ASSSA000054,2.0,1.0,2015,1
ASSSA000054,2.0,2.0,2010,119
ASSSA000054,2.0,2.0,2011,2
ASSSA000054,2.0,2.0,2012,1
ASSSA000054,2.0,2.0,2013,1
ASSSA000054,2.0,2.0,2014,16
ASSSA000054,2.0,3.0,2010,1
ASSSA000054,2.0,3.0,2011,1
