CLUES,TIPOURGENCIA,MOTATE,YEAR,count,TIPOURGENCIA_V,MOTATE_V
ASSSA000025,-1.0,1.0,2009,2919,,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000025,1.0,2.0,2009,2236,URGENCIA CALIFICADA,MEDICA
ASSSA000025,1.0,3.0,2009,38,URGENCIA CALIFICADA,QUIRURGICA
ASSSA000025,1.0,4.0,2009,6,URGENCIA CALIFICADA,GINECO-OBSTETRICA
ASSSA000025,1.0,5.0,2009,2013,URGENCIA CALIFICADA,PEDIATRICA
ASSSA000025,2.0,6.0,2009,9361,URGENCIA NO CALIFICADA,URGENCIA NO CALIFICADA
ASSSA000025,3.0,7.0,2009,11,APOYO A SERVICIOS DE MEDICINA GENERAL,APOYO A SERVICIOS DE MEDICINA GENERAL
ASSSA000025,-1.0,9.0,2009,100,,NO ESPECIFICADO
ASSSA000025,1.0,1.0,2010,722,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000025,1.0,1.0,2011,1809,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000025,1.0,1.0,2012,1523,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000025,1.0,1.0,2013,2106,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000025,1.0,1.0,2014,1283,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000025,1.0,1.0,2015,1034,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000025,1.0,1.0,2016,1242,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000025,1.0,2.0,2010,2195,URGENCIA CALIFICADA,MEDICA
ASSSA000025,1.0,2.0,2011,3454,URGENCIA CALIFICADA,MEDICA
ASSSA000025,1.0,2.0,2012,2533,URGENCIA CALIFICADA,MEDICA
