CLUES,NOMBRE DE LA ENTIDAD,CLAVE DE LA ENTIDAD,CLAVE DE LA INSTITUCION,TOTAL DE CAMAS,TIPOURGENCIA,MOTATE,YEAR,count,TIPOURGENCIA_V,MOTATE_V
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,-1.0,1.0,2009,1278,,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,1.0,2.0,2009,8524,URGENCIA CALIFICADA,MEDICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,1.0,3.0,2009,19,URGENCIA CALIFICADA,QUIRURGICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,1.0,5.0,2009,4,URGENCIA CALIFICADA,PEDIATRICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,2.0,6.0,2009,24029,URGENCIA NO CALIFICADA,URGENCIA NO CALIFICADA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,-1.0,9.0,2009,2,,NO ESPECIFICADO
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,1.0,1.0,2010,1579,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,1.0,1.0,2011,1492,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,1.0,1.0,2012,1111,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,1.0,1.0,2013,1255,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,1.0,1.0,2014,1425,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,1.0,1.0,2015,3686,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,1.0,1.0,2016,4746,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,1.0,2.0,2010,1314,URGENCIA CALIFICADA,MEDICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,1.0,2.0,2011,337,URGENCIA CALIFICADA,MEDICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,1.0,2.0,2012,23,URGENCIA CALIFICADA,MEDICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,1.0,2.0,2013,34,URGENCIA CALIFICADA,MEDICA
